timestamp,trade_id,timestamp,pnl,fee_paid,balance,equity,qty,price,psize,pprice,type,pcost,wallet_exposure,mins_since_prev_fill
1704082800000.0,260,1704082800000.0,0.0,-0.006503736000000001,999.993496264,1000.047556264,3180.0,0.010226,3180.0,0.010226,long_ientry_normal,32.51868,0.032518891494285294,
1704085080000.0,298,1704085080000.0,0.05228999999999984,-0.001298934,1000.0444873299999,1000.2586873299999,-630.0,0.010309,2550.0,0.010226,long_nclose,26.076300000000003,0.026075139986642622,38.0
1704085200000.0,300,1704085200000.0,0.04232999999999987,-0.0010515180000000002,1000.0857658119999,1000.2591658119999,-510.0,0.010309,2040.0,0.010226,long_nclose,20.861040000000003,0.02085925098940119,2.0
1704085500000.0,305,1704085500000.0,0.033199999999999896,-0.0008247200000000001,1000.1181410919999,1000.2657410919999,-400.0,0.010309,1640.0,0.010226,long_nclose,16.77064,0.016768658932322364,5.0
1704087180000.0,333,1704087180000.0,0.026559999999999917,-0.000659776,1000.1440413159999,1000.2654813159999,-320.0,0.010309,1320.0,0.010226,long_nclose,13.498320000000001,0.013496375964244883,28.0
1704089880000.0,378,1704089880000.0,0.021579999999999933,-0.0005360680000000001,1000.1650852479999,1000.2541252479998,-260.0,0.010309,1060.0,0.010226,long_nclose,10.83956,0.010837770843912468,45.0
1704090660000.0,391,1704090660000.0,0.017429999999999946,-0.00043297800000000004,1000.1820822699998,1000.2534822699998,-210.0,0.010309,850.0,0.010226,long_nclose,8.6921,0.008690517610825947,13.0
1704090780000.0,393,1704090780000.0,0.014109999999999956,-0.00035050600000000005,1000.1958417639997,1000.2509217639997,-170.0,0.010309,680.0,0.010226,long_nclose,6.95368,0.006952318445691708,2.0
1704090900000.0,395,1704090900000.0,0.010789999999999966,-0.00026803400000000006,1000.2063637299998,1000.2558637299998,-130.0,0.010309,550.0,0.010226,long_nclose,5.624300000000001,0.005623139587940324,2.0
1704101940000.0,579,1704101940000.0,0.02301000000000001,-0.00027047800000000005,1000.2291032519998,1000.3042832519999,-130.0,0.010403,420.0,0.010226,long_nclose,4.29492,0.004293936245242335,184.0
1704105240000.0,634,1704105240000.0,0.017700000000000007,-0.00020806,1000.2465951919999,1000.3032351919999,-100.0,0.010403,320.0,0.010226,long_nclose,3.27232,0.0032715132605593824,55.0
1704105300000.0,635,1704105300000.0,0.014160000000000006,-0.00016644800000000003,1000.2605887439998,1000.3040287439999,-80.0,0.010403,240.0,0.010226,long_nclose,2.45424,0.00245360061929634,1.0
1704105660000.0,641,1704105660000.0,0.010620000000000004,-0.00012483600000000002,1000.2710839079998,1000.3034839079999,-60.0,0.010403,180.0,0.010226,long_nclose,1.84068,0.0018401811565006683,6.0
1704122640000.0,924,1704122640000.0,0.01625999999999992,-0.000125964,1000.2872179439998,1000.3194979439999,-60.0,0.010497,120.0,0.010226,long_nclose,1.22712,0.0012267676503177102,283.0
1704123840000.0,944,1704123840000.0,0.010839999999999947,-8.3976e-05,1000.2979739679998,1000.3200539679998,-40.0,0.010497,80.0,0.010226,long_nclose,0.81808,0.0008178363060707058,20.0
1704123960000.0,946,1704123960000.0,0.0054199999999999735,-4.1988e-05,1000.3033519799998,1000.3199719799998,-20.0,0.010497,60.0,0.010226,long_nclose,0.61356,0.0006133739318033072,2.0
1704124320000.0,952,1704124320000.0,0.0054199999999999735,-4.1988e-05,1000.3087299919997,1000.3197699919997,-20.0,0.010497,40.0,0.010226,long_nclose,0.40904,0.00040891375605936323,6.0
1704124800000.0,960,1704124800000.0,0.0027099999999999867,-2.0994e-05,1000.3114189979997,1000.3198489979997,-10.0,0.010497,30.0,0.010226,long_nclose,0.30678,0.0003066844926226054,8.0
1704126180000.0,983,1704126180000.0,0.0027099999999999867,-2.0994e-05,1000.3141080039996,1000.3196480039996,-10.0,0.010497,20.0,0.010226,long_nclose,0.20452,0.00020445577880341388,23.0
1704126300000.0,985,1704126300000.0,0.0027099999999999867,-2.0994e-05,1000.3167970099996,1000.3194570099996,-10.0,0.010497,10.0,0.010226,long_nclose,0.10226,0.00010222761459735617,2.0
1704126360000.0,986,1704126360000.0,0.0027099999999999867,-2.0994e-05,1000.3194860159996,1000.3194860159996,-10.0,0.010497,0.0,0.010226,long_nclose,0.0,0.0,1.0
1704206040000.0,2314,1704206040000.0,0.0,-0.006508700000000001,1000.3129773159995,1000.3678773159995,3050.0,0.01067,3050.0,0.01067,long_ientry_normal,32.5435,0.03253331780951142,1328.0
1704282900000.0,3595,1704282900000.0,0.0,-0.006492872,1000.3064844439996,999.1318444439996,3130.0,0.010372,6180.0,0.010519071197411004,long_rentry,65.00786000000001,0.06498794220666612,1281.0
1704283260000.0,3601,1704283260000.0,0.0,-0.006499840000000001,1000.2999846039996,994.5480846039997,3200.0,0.010156,9380.0,0.01039520895522388,long_rentry,97.50706,0.09747781815532193,6.0
1704283260000.0,3601,1704283260000.0,0.0,-0.0064984840000000006,1000.2934861199997,993.9384861199997,3260.0,0.009967,12640.0,0.010284768987341772,long_rentry,129.99948,0.12996133815111607,0.0
1704283260000.0,3601,1704283260000.0,0.0,-0.007462266,1000.2860238539997,993.8891138539998,3810.0,0.009793,16450.0,0.010170869908814589,long_rentry,167.31080999999998,0.16726296880103206,0.0
1704283260000.0,3601,1704283260000.0,0.0,-0.009531136,1000.2764927179998,994.7426227179998,4960.0,0.009608,21410.0,0.010040471275105092,long_rentry,214.96649000000002,0.21490706976016466,0.0
1704283680000.0,3608,1704283680000.0,0.0,-0.012128004000000001,1000.2643647139997,986.7194647139997,6460.0,0.009387,27870.0,0.00988900287047004,long_rentry,275.60651,0.2755336686204979,7.0
1704283740000.0,3609,1704283740000.0,0.0,-0.015346568,1000.2490181459997,962.4209881459997,8410.0,0.009124,36280.0,0.009711668963616318,long_rentry,352.33935,0.3522516329514371,1.0
1704283740000.0,3609,1704283740000.0,0.0,-0.019271904000000003,1000.2297462419997,960.8810562419997,10940.0,0.008808,47220.0,0.009502305590851336,long_rentry,448.69887000000006,0.4485958067992111,0.0
1704283800000.0,3610,1704283800000.0,0.0,-0.024014336,1000.2057319059996,906.7053619059997,14240.0,0.008432,61460.0,0.009254320696387895,long_rentry,568.7705500000001,0.568653559819285,1.0
1704283800000.0,3610,1704283800000.0,0.0,-0.029612088,1000.1761198179996,901.9851298179997,18540.0,0.007986,80000.0,0.008960387375,long_rentry,716.83099,0.7167047640873895,0.0
1704284100000.0,3615,1704284100000.0,1.1618019999999896,-0.0289056,1001.3090162179996,1016.3882242179996,-16000.0,0.009033,64000.0,0.008960387375,long_nclose,573.464792,0.5727150986475771,5.0
1704284100000.0,3615,1704284100000.0,2.4738019999999974,-0.029168000000000003,1003.7536502179995,1015.0630562179995,-16000.0,0.009115,48000.0,0.008960387375,long_nclose,430.098594,0.4284901916985202,0.0
1704284160000.0,3616,1704284160000.0,3.8018019999999932,-0.029433600000000004,1007.5260186179995,1015.6736226179995,-16000.0,0.009198,32000.0,0.008960387375,long_nclose,286.732396,0.28459056213089595,1.0
1704284220000.0,3617,1704284220000.0,5.113802000000001,-0.029696,1012.6101246179995,1017.6599266179995,-16000.0,0.00928,16000.0,0.008960387375,long_nclose,143.366198,0.14158084588980774,1.0
1704284280000.0,3618,1704284280000.0,2.5569010000000003,-0.014848,1015.1521776179995,1018.2610786179995,-8000.0,0.00928,8000.0,0.008960387375,long_nclose,71.683099,0.07061315591934263,1.0
1704284340000.0,3619,1704284340000.0,3.2209009999999982,-0.0149808,1018.3580978179996,1018.3580978179996,-8000.0,0.009363,0.0,0.008960387375,long_nclose,0.0,0.0,1.0
1704284400000.0,3620,1704284400000.0,0.0,-0.006621396000000001,1018.3514764219996,1018.4160964219996,3590.0,0.009222,3590.0,0.009222,long_ientry_normal,33.10698,0.03251036677073627,1.0
1704284460000.0,3621,1704284460000.0,0.0532500000000003,-0.001320174,1018.4034062479996,1018.6194062479996,-710.0,0.009297,2880.0,0.009222,long_nclose,26.559359999999998,0.02607941002264511,1.0
1704284520000.0,3622,1704284520000.0,0.04275000000000023,-0.0010598580000000001,1018.4450963899995,1018.6229663899995,-570.0,0.009297,2310.0,0.009222,long_nclose,21.302819999999997,0.02091700384783666,1.0
1704284580000.0,3623,1704284580000.0,0.0,-0.00232475,1018.4427716399996,1018.8200016399996,1250.0,0.009299,3560.0,0.009249036516853933,long_ientry_partial,32.926570000000005,0.032330309485115505,1.0
1704284700000.0,3625,1704284700000.0,0.14236749999999995,-0.0016748020000000002,1018.5834643379995,1018.8637168379995,-890.0,0.009409,2670.0,0.009249036516853933,long_nclose,24.694927500000002,0.024244382875437502,2.0
1704284760000.0,3626,1704284760000.0,0.0,-0.0016275959999999998,1018.5818367419995,1018.8196092419995,870.0,0.009354,3540.0,0.009274832627118644,long_ientry_partial,32.8329075,0.03223394165854969,1.0
1704284820000.0,3627,1704284820000.0,0.05261716101694989,-0.0013090000000000003,1018.6331449030165,1018.5938602419996,-700.0,0.00935,2840.0,0.009274832627118644,long_nclose,26.340524661016946,0.025858695834529134,1.0
1704284880000.0,3628,1704284880000.0,0.0,-0.001352106,1018.6317927970165,1018.8959581359995,730.0,0.009261,3570.0,0.009272004106727436,long_ientry_partial,33.101054661016946,0.032495603313270054,1.0
1704284940000.0,3629,1704284940000.0,0.05324708422351983,-0.001327274,1018.68371260724,1018.9125008619994,-710.0,0.009347,2860.0,0.009272004106727436,long_nclose,26.517931745240467,0.026031565457515688,1.0
