timestamp,trade_id,timestamp,pnl,fee_paid,balance,equity,qty,price,psize,pprice,type,pcost,wallet_exposure,mins_since_prev_fill
1704208740000.0,2359,1704208740000.0,0.0,-0.010000692,999.989999308,999.9522893080001,3771.0,0.01326,3771.0,0.01326,long_ientry_normal,50.00346,0.05000396007420348,
1704210840000.0,2394,1704210840000.0,0.15700000000000014,-0.001696856,1000.1453024520001,1001.0882024520001,-628.0,0.01351,3143.0,0.01326,long_nclose,41.676179999999995,0.041670125228629125,35.0
1704211200000.0,2400,1704211200000.0,0.13075000000000012,-0.0014131459999999999,1000.2746393060002,1000.9558393060001,-523.0,0.01351,2620.0,0.01326,long_nclose,34.7412,0.034731661320638665,6.0
1704211320000.0,2402,1704211320000.0,0.1090000000000001,-0.0011780719999999998,1000.3824612340002,1000.9284612340002,-436.0,0.01351,2184.0,0.01326,long_nclose,28.95984,0.02894876821838441,2.0
1704212760000.0,2426,1704212760000.0,0.09100000000000008,-0.000983528,1000.4724777060002,1000.9638777060002,-364.0,0.01351,1820.0,0.01326,long_nclose,24.1332,0.02412180298586065,24.0
1704213060000.0,2431,1704213060000.0,0.07575000000000007,-0.0008187059999999999,1000.5474090000001,1000.9569990000001,-303.0,0.01351,1517.0,0.01326,long_nclose,20.11542,0.020104414662474028,5.0
1704213780000.0,2443,1704213780000.0,0.06300000000000006,-0.000680904,1000.6097280960001,1000.9386280960001,-252.0,0.01351,1265.0,0.01326,long_nclose,16.773899999999998,0.016763678714095693,12.0
1704215040000.0,2464,1704215040000.0,0.05250000000000005,-0.00056742,1000.6616606760001,1000.9254106760001,-210.0,0.01351,1055.0,0.01326,long_nclose,13.989299999999998,0.013980049950699104,21.0
1704215100000.0,2465,1704215100000.0,0.04375000000000004,-0.00047285,1000.7049378260001,1000.9249378260001,-175.0,0.01351,880.0,0.01326,long_nclose,11.6688,0.011660580016073568,1.0
1704215760000.0,2476,1704215760000.0,0.03650000000000003,-0.000394492,1000.7410433340001,1000.9392233340001,-146.0,0.01351,734.0,0.01326,long_nclose,9.73284,0.009725632884581947,11.0
1704217320000.0,2502,1704217320000.0,0.030500000000000027,-0.00032964400000000003,1000.7712136900001,1000.9425736900001,-122.0,0.01351,612.0,0.01326,long_nclose,8.11512,0.008108866331274939,26.0
1704219480000.0,2538,1704219480000.0,0.025500000000000023,-0.00027560400000000004,1000.7964380860001,1000.9239380860001,-102.0,0.01351,510.0,0.01326,long_nclose,6.7626,0.006757218293995245,36.0
1704219600000.0,2540,1704219600000.0,0.02125000000000002,-0.00022967000000000002,1000.8174584160001,1000.9364584160002,-85.0,0.01351,425.0,0.01326,long_nclose,5.6354999999999995,0.005630896975877439,2.0
1704221100000.0,2565,1704221100000.0,0.017500000000000016,-0.00018914,1000.8347692760002,1000.9270692760002,-70.0,0.01351,355.0,0.01326,long_nclose,4.7073,0.004703373768084857,25.0
1704221220000.0,2567,1704221220000.0,0.014750000000000013,-0.000159418,1000.8493598580003,1000.9233598580003,-59.0,0.01351,296.0,0.01326,long_nclose,3.9249599999999996,0.0039216291256427135,2.0
1704221340000.0,2569,1704221340000.0,0.012250000000000011,-0.000132398,1000.8614774600003,1000.9232274600002,-49.0,0.01351,247.0,0.01326,long_nclose,3.27522,0.003272400900384234,2.0
1704221700000.0,2575,1704221700000.0,0.010250000000000009,-0.00011078200000000001,1000.8716166780004,1000.9272366780003,-41.0,0.01351,206.0,0.01326,long_nclose,2.73156,0.0027291812001486652,6.0
1704222300000.0,2585,1704222300000.0,0.008500000000000008,-9.1868e-05,1000.8800248100004,1000.9264648100003,-34.0,0.01351,172.0,0.01326,long_nclose,2.28072,0.002278714674551483,10.0
1704222660000.0,2591,1704222660000.0,0.007000000000000006,-7.565600000000001e-05,1000.8869491540003,1000.9243891540002,-28.0,0.01351,144.0,0.01326,long_nclose,1.9094399999999998,0.001907747924592237,6.0
1704229440000.0,2704,1704229440000.0,0.0,-0.009628128,1000.8773210260002,1001.0634410260002,3636.0,0.01324,3780.0,0.013240761904761904,long_ientry_partial,50.05008,0.05000620850185077,113.0
1704240840000.0,2894,1704240840000.0,0.15702000000000033,-0.00169974,1001.0326412860002,1001.8177412860002,-630.0,0.01349,3150.0,0.013240761904761904,long_nclose,41.7084,0.041665374613976944,190.0
1704240900000.0,2895,1704240900000.0,0.13085000000000027,-0.00141645,1001.1620748360002,1001.7900748360003,-525.0,0.01349,2625.0,0.013240761904761904,long_nclose,34.757,0.03471665664692055,1.0
1704242280000.0,2918,1704242280000.0,0.10891704761904786,-0.0011790260000000001,1001.2698128576192,1001.8589058100001,-437.0,0.01349,2188.0,0.013240761904761904,long_nclose,28.970787047619048,0.028934046223701243,23.0
1704246060000.0,2981,1704246060000.0,0.1657270476190478,-0.0011903880000000001,1001.4343495172382,1002.1159054220001,-437.0,0.01362,1751.0,0.013240761904761904,long_nclose,23.184574095238094,0.023151366943239656,63.0
1704247680000.0,3008,1704247680000.0,0.22253704761904777,-0.0012017500000000001,1001.6556848148573,1002.3116836720002,-437.0,0.01375,1314.0,0.013240761904761904,long_nclose,17.39836114285714,0.01736960255566562,27.0
1704247740000.0,3009,1704247740000.0,0.16703009523809537,-0.000902,1001.8218129100954,1002.3337816720002,-328.0,0.01375,986.0,0.013240761904761904,long_nclose,13.055391238095238,0.013031650009867416,1.0
1704247860000.0,3011,1704247860000.0,0.1252725714285715,-0.0006765,1001.946408981524,1002.3306451720001,-246.0,0.01375,740.0,0.013240761904761904,long_nclose,9.798163809523809,0.009779129623792572,2.0
