timestamp,trade_id,timestamp,pnl,fee_paid,balance,equity,qty,price,psize,pprice,type,pcost,wallet_exposure,mins_since_prev_fill
1672621560000.0,1506,1672621560000.0,0.0,-0.0098266,999.9901734,999.9971734,0.7,70.19,0.7,70.19,long_ientry_normal,49.132999999999996,0.04913348281508222,
1672631640000.0,1674,1672631640000.0,0.12599999999999908,-0.0028328,1000.1133406,1000.4433406,-0.2,70.82,0.5,70.19,long_nclose,35.095,0.03509102276242549,168.0
1672631760000.0,1676,1672631760000.0,0.06299999999999954,-0.0014164,1000.1749242,1000.4949242,-0.1,70.82,0.4,70.19,long_nclose,28.076,0.02807108968709336,2.0
1672632360000.0,1686,1672632360000.0,0.06299999999999954,-0.0014164,1000.2365077999999,1000.4105077999999,-0.1,70.82,0.3,70.19,long_nclose,21.057,0.021052021032819973,10.0
1672643640000.0,1874,1672643640000.0,0.06299999999999954,-0.0014164,1000.2980913999999,1000.5100913999999,-0.1,70.82,0.2,70.19,long_nclose,14.038,0.014033816639950457,188.0
1672643700000.0,1875,1672643700000.0,0.2689999999999998,-0.0014576,1000.5656337999999,1001.2346337999999,-0.1,72.88,0.1,70.19,long_nclose,7.019,0.007015032060758352,1.0
1672643700000.0,1875,1672643700000.0,0.47500000000000003,-0.0014988,1001.0391349999999,1001.0391349999999,-0.1,74.94,0.0,70.19,long_nclose,0.0,0.0,0.0
1672750260000.0,3651,1672750260000.0,0.0,-0.0104958,1001.0286391999999,1001.0146391999999,0.7,74.97,0.7,74.97,long_ientry_normal,52.479,0.05242507351432029,1776.0
1672756380000.0,3753,1672756380000.0,0.13600000000000137,-0.0030260000000000005,1001.1616131999999,1001.5166131999999,-0.2,75.65,0.5,74.97,long_nclose,37.485,0.03744150745071735,102.0
1672756500000.0,3755,1672756500000.0,0.06800000000000068,-0.0015130000000000002,1001.2281001999999,1001.4681001999999,-0.1,75.65,0.4,74.97,long_nclose,29.988,0.02995121690452931,2.0
1672756860000.0,3761,1672756860000.0,0.06800000000000068,-0.0015130000000000002,1001.2945871999998,1001.4865871999998,-0.1,75.65,0.3,74.97,long_nclose,22.491,0.02246192108447663,6.0
1672756920000.0,3762,1672756920000.0,0.06800000000000068,-0.0015130000000000002,1001.3610741999997,1001.4910741999997,-0.1,75.65,0.2,74.97,long_nclose,14.994,0.014973619792419932,1.0
1672756980000.0,3763,1672756980000.0,0.06800000000000068,-0.0015130000000000002,1001.4275611999997,1001.4915611999996,-0.1,75.65,0.1,74.97,long_nclose,7.497,0.007486312830272443,1.0
1672757520000.0,3772,1672757520000.0,0.0,-0.0089892,1001.4185719999997,1001.4125719999997,0.6,74.91,0.7,74.91857142857143,long_ientry_partial,52.443,0.052368711212597736,9.0
1672766220000.0,3917,1672766220000.0,0.1342857142857156,-0.0030236000000000004,1001.5498341142854,1001.8555483999997,-0.2,75.59,0.5,74.91857142857143,long_nclose,37.45928571428571,0.0374013198728275,145.0
