timestamp,trade_id,timestamp,pnl,fee_paid,balance,equity,qty,price,psize,pprice,type,pcost,wallet_exposure,mins_since_prev_fill
1672621620000.0,1507,1672621620000.0,0.0,-0.0061359480000000004,999.993864052,999.985674052,819.0,0.03746,819.0,0.03746,long_ientry_normal,30.67974,0.030679928250444386,
1672626600000.0,1590,1672626600000.0,0.04283999999999967,-0.0007727519999999999,1000.0359313,1000.3155613,-102.0,0.03788,717.0,0.03746,long_nclose,26.85882,0.02685785496235599,83.0
1672631280000.0,1668,1672631280000.0,0.03737999999999971,-0.000674264,1000.072637036,1000.348957036,-89.0,0.03788,628.0,0.03746,long_nclose,23.52488,0.023523171346556068,78.0
1672631580000.0,1673,1672631580000.0,0.03275999999999975,-0.000590928,1000.104806108,1000.346806108,-78.0,0.03788,550.0,0.03746,long_nclose,20.603,0.02060084090604311,5.0
1672631640000.0,1674,1672631640000.0,0.04446000000000008,-0.0005932680000000001,1000.14867284,1000.40355284,-78.0,0.03803,472.0,0.03746,long_nclose,17.68112,0.017678491688433762,1.0
1672632120000.0,1682,1672632120000.0,0.03819000000000007,-0.0005096020000000001,1000.186353238,1000.4253032380001,-67.0,0.03803,405.0,0.03746,long_nclose,15.1713,0.015168473305883931,8.0
1672632840000.0,1694,1672632840000.0,0.020999999999999838,-0.0003788,1000.206974438,1000.363174438,-50.0,0.03788,355.0,0.03746,long_nclose,13.2983,0.013295548161391394,12.0
1672633740000.0,1709,1672633740000.0,0.018479999999999858,-0.00033334399999999996,1000.225121094,1000.361961094,-44.0,0.03788,311.0,0.03746,long_nclose,11.65006,0.011647437916034046,15.0
1672634700000.0,1725,1672634700000.0,0.025080000000000047,-0.00033466400000000003,1000.24986643,1000.40739643,-44.0,0.03803,267.0,0.03746,long_nclose,10.00182,0.009999321505233066,16.0
1672635780000.0,1743,1672635780000.0,0.02166000000000004,-0.00028902800000000004,1000.271237402,1000.406347402,-38.0,0.03803,229.0,0.03746,long_nclose,8.57834,0.008576013864279938,18.0
1672635960000.0,1746,1672635960000.0,0.018240000000000034,-0.00024339200000000002,1000.28923401,1000.3956140099999,-32.0,0.03803,197.0,0.03746,long_nclose,7.37962,0.007377486180088414,3.0
1672639620000.0,1807,1672639620000.0,0.01596000000000003,-0.000212968,1000.3049810419999,1000.4046910419999,-28.0,0.03803,169.0,0.03746,long_nclose,6.3307400000000005,0.006328809832982518,61.0
1672639980000.0,1813,1672639980000.0,0.013680000000000025,-0.000182544,1000.3184784979999,1000.4112784979999,-24.0,0.03803,145.0,0.03746,long_nclose,5.4317,0.005429970671096486,6.0
1672639980000.0,1813,1672639980000.0,0.017279999999999962,-0.000183264,1000.3355752339999,1000.4130152339999,-24.0,0.03818,121.0,0.03746,long_nclose,4.53266,0.0045311394618148156,0.0
1672641300000.0,1835,1672641300000.0,0.009690000000000018,-0.000129302,1000.3451359319998,1000.4064959319999,-17.0,0.03803,104.0,0.03746,long_nclose,3.89584,0.0038944958695383974,22.0
1672641840000.0,1844,1672641840000.0,0.005459999999999958,-9.8488e-05,1000.3504974439998,1000.3905374439997,-13.0,0.03788,91.0,0.03746,long_nclose,3.4088600000000002,0.003407665621909515,9.0
1672643100000.0,1865,1672643100000.0,0.007410000000000014,-9.8878e-05,1000.3578085659998,1000.4038285659998,-13.0,0.03803,78.0,0.03746,long_nclose,2.92188,0.0029208349002528182,21.0
1672643640000.0,1874,1672643640000.0,0.00935999999999998,-9.9268e-05,1000.3670692979998,1000.4444192979998,-13.0,0.03818,65.0,0.03746,long_nclose,2.4349,0.002434006550924025,9.0
1672643640000.0,1874,1672643640000.0,0.011439999999999985,-9.9684e-05,1000.3784096139998,1000.4402896139998,-13.0,0.03834,52.0,0.03746,long_nclose,1.94792,0.0019471831671693247,0.0
1672643640000.0,1874,1672643640000.0,0.01339000000000004,-0.00010007400000000002,1000.3916995399998,1000.4381095399998,-13.0,0.03849,39.0,0.03746,long_nclose,1.46094,0.0014603679745361438,0.0
1672643640000.0,1874,1672643640000.0,0.015340000000000006,-0.000100464,1000.4069390759998,1000.4378790759998,-13.0,0.03864,26.0,0.03746,long_nclose,0.97396,0.0009735638188391347,0.0
1672643760000.0,1876,1672643760000.0,0.009440000000000004,-6.182400000000001e-05,1000.4163172519999,1000.4332372519999,-8.0,0.03864,18.0,0.03746,long_nclose,0.67428,0.0006739994024209346,2.0
1672643880000.0,1878,1672643880000.0,0.0041200000000000125,-3.0792000000000006e-05,1000.4204064599999,1000.4342664599999,-4.0,0.03849,14.0,0.03746,long_nclose,0.52444,0.0005242196146875267,2.0
1672644060000.0,1881,1672644060000.0,0.0030900000000000094,-2.3094000000000003e-05,1000.4234733659999,1000.4349133659999,-3.0,0.03849,11.0,0.03746,long_nclose,0.41206,0.00041188557742811966,3.0
1672644780000.0,1893,1672644780000.0,0.0020600000000000063,-1.5396000000000003e-05,1000.42551797,1000.43397797,-2.0,0.03849,9.0,0.03746,long_nclose,0.33714,0.00033699660189006686,12.0
1672644840000.0,1894,1672644840000.0,0.0020600000000000063,-1.5396000000000003e-05,1000.427562574,1000.4348425740001,-2.0,0.03849,7.0,0.03746,long_nclose,0.26222,0.00026210793245773253,1.0
1672645200000.0,1900,1672645200000.0,0.002360000000000001,-1.5456000000000002e-05,1000.429907118,1000.435857118,-2.0,0.03864,5.0,0.03746,long_nclose,0.1873,0.00018721951299873336,6.0
1672645380000.0,1903,1672645380000.0,0.0011800000000000005,-7.728000000000001e-06,1000.4310793899999,1000.4354393899999,-1.0,0.03864,4.0,0.03746,long_nclose,0.14984,0.00014977543489688768,3.0
1672646400000.0,1920,1672646400000.0,0.0010300000000000031,-7.698000000000002e-06,1000.432101692,1000.4352216919999,-1.0,0.03849,3.0,0.03746,long_nclose,0.11238000000000001,0.00011233146138547053,17.0
1672646460000.0,1921,1672646460000.0,0.0011800000000000005,-7.728000000000001e-06,1000.4332739639999,1000.4353539639999,-1.0,0.03864,2.0,0.03746,long_nclose,0.07492,7.48875531729825e-05,1.0
1672646640000.0,1924,1672646640000.0,0.0011800000000000005,-7.728000000000001e-06,1000.4344462359999,1000.4356862359999,-1.0,0.03864,1.0,0.03746,long_nclose,0.03746,3.744373271126181e-05,3.0
1672646880000.0,1928,1672646880000.0,0.0011800000000000005,-7.728000000000001e-06,1000.4356185079998,1000.4356185079998,-1.0,0.03864,0.0,0.03746,long_nclose,0.0,0.0,4.0
1672712340000.0,3019,1672712340000.0,0.0,-0.006138,1000.4294805079999,1000.3898805079999,792.0,0.03875,792.0,0.03875,long_ientry_normal,30.69,0.030676824901657414,1091.0
1672723140000.0,3199,1672723140000.0,0.04256999999999998,-0.0007757640000000001,1000.4712747439999,1000.7831247439999,-99.0,0.03918,693.0,0.03875,long_nclose,26.85375,0.026841100467248625,180.0
1672725660000.0,3241,1672725660000.0,0.036979999999999985,-0.000673896,1000.5075808479999,1000.7807308479998,-86.0,0.03918,607.0,0.03875,long_nclose,23.52125,0.023509317120879884,42.0
1672727400000.0,3270,1672727400000.0,0.03224999999999999,-0.0005877,1000.5392431479999,1000.7786431479999,-75.0,0.03918,532.0,0.03875,long_nclose,20.615,0.02060388949376834,29.0
1672737480000.0,3438,1672737480000.0,0.02837999999999999,-0.000517176,1000.5671059719998,1000.8001059719998,-66.0,0.03918,466.0,0.03875,long_nclose,18.0575,0.018047265288076868,168.0
1672737720000.0,3442,1672737720000.0,0.02493999999999999,-0.000454488,1000.5915914839999,1000.7751914839998,-58.0,0.03918,408.0,0.03875,long_nclose,15.81,0.01580065246855796,4.0
1672739760000.0,3476,1672739760000.0,0.02192999999999999,-0.00039963600000000003,1000.6131218479999,1000.7559218479998,-51.0,0.03918,357.0,0.03875,long_nclose,13.83375,0.013825273422809904,34.0
1672742940000.0,3529,1672742940000.0,0.018919999999999992,-0.000344784,1000.6316970639998,1000.7725470639998,-44.0,0.03918,313.0,0.03875,long_nclose,12.12875,0.01212109314105033,53.0
1672745580000.0,3573,1672745580000.0,0.016769999999999993,-0.000305604,1000.6481614599998,1000.7851614599997,-39.0,0.03918,274.0,0.03875,long_nclose,10.6175,0.010610622603361899,44.0
1672746300000.0,3585,1672746300000.0,0.0,-0.003999348,1000.6441621119998,1000.7622721119998,513.0,0.03898,787.0,0.03889992376111817,long_ientry_partial,30.614240000000002,0.030594532161547176,12.0
1672785900000.0,4245,1672785900000.0,0.0,-0.0061408,1000.6380213119998,999.8500313119997,808.0,0.038,1595.0,0.03844403761755486,long_rentry,61.31824,0.06127914260103947,660.0
1672802220000.0,4517,1672802220000.0,0.08476651410658287,-0.0015470260000000002,1000.7212408001063,1001.3577642859998,-199.0,0.03887,1396.0,0.03844403761755486,long_nclose,53.66787651410659,0.0536291969491899,272.0
1672804260000.0,4551,1672804260000.0,0.07411745454545436,-0.0013526760000000001,1000.7940055786518,1001.3511916099998,-174.0,0.03887,1222.0,0.03844403761755486,long_nclose,46.97861396865204,0.04694134228101152,34.0
1672804620000.0,4557,1672804620000.0,0.06474628213166128,-0.001181648,1000.8575702127833,1001.3454499619996,-152.0,0.03887,1070.0,0.03844403761755486,long_nclose,41.1351202507837,0.041099874222901,6.0
1672804800000.0,4560,1672804800000.0,0.08906628213166135,-0.0011865120000000002,1000.945449982915,1001.5017234499996,-152.0,0.03903,918.0,0.03844403761755486,long_nclose,35.291626532915366,0.0352582915817418,3.0
1672804980000.0,4563,1672804980000.0,0.0767610721003134,-0.001022586,1001.0211884690153,1001.4980808639997,-131.0,0.03903,787.0,0.03844403761755486,long_nclose,30.255457605015675,0.030224592599572307,3.0
1672806240000.0,4584,1672806240000.0,0.04174431347962372,-0.000761852,1001.062170930495,1001.3418790119997,-98.0,0.03887,689.0,0.03844403761755486,long_nclose,26.4879419184953,0.026459837048756474,21.0
1672806780000.0,4593,1672806780000.0,0.03663276489028204,-0.0006685640000000001,1001.0981351313853,1001.3730804479998,-86.0,0.03887,603.0,0.03844403761755486,long_nclose,23.18175468338558,0.023156325908391766,9.0
1672811580000.0,4673,1672811580000.0,0.0319471786833855,-0.0005830500000000001,1001.1294992600687,1001.3702473979997,-75.0,0.03887,528.0,0.03844403761755486,long_nclose,20.298451862068966,0.02027555064262064,80.0
1672814460000.0,4721,1672814460000.0,0.02811351724137924,-0.000513084,1001.1570996933101,1001.3677543139997,-66.0,0.03887,462.0,0.03844403761755486,long_nclose,17.761145379310346,0.01774061771599204,48.0
