timestamp,trade_id,timestamp,pnl,fee_paid,balance,equity,qty,price,psize,pprice,type,pcost,wallet_exposure,mins_since_prev_fill
1672757880000.0,3778,1672757880000.0,0.0,-0.0693306,999.9306694,999.8786194,520.5,0.1332,520.5,0.1332,long_ientry_normal,69.3306,0.06933540706537308,
1672759440000.0,3804,1672759440000.0,0.41631999999999747,-0.035074959999999995,1000.3119144400001,1000.4680944400001,-260.2,0.1348,260.3,0.1332,long_nclose,34.671960000000006,0.03466114868721747,26.0
1672794600000.0,4390,1672794600000.0,0.20815999999999873,-0.017537479999999998,1000.5025369600002,1000.7108569600001,-130.1,0.1348,130.2,0.1332,long_nclose,17.34264,0.017333929059985338,586.0
1672794660000.0,4391,1672794660000.0,0.10415999999999936,-0.00877548,1000.5979214800001,1000.7085914800001,-65.1,0.1348,65.1,0.1332,long_nclose,8.67132,0.008666138329743995,1.0
1672795080000.0,4398,1672795080000.0,0.10415999999999936,-0.00877548,1000.693306,1000.693306,-65.1,0.1348,0.0,0.1332,long_nclose,0.0,0.0,7.0
1672844940000.0,5229,1672844940000.0,0.0,-0.06937913999999999,1000.62392686,1000.62392686,507.9,0.1366,507.9,0.1366,long_ientry_normal,69.37913999999999,0.06933587948242918,831.0
1672847040000.0,5264,1672847040000.0,0.4316300000000018,-0.03511437,1001.02044249,1001.5030424900001,-253.9,0.1383,254.0,0.1366,long_nclose,34.6964,0.034661030411820594,35.0
1672848120000.0,5282,1672848120000.0,0.2159000000000009,-0.0175641,1001.2187783900001,1001.4473783900002,-127.0,0.1383,127.0,0.1366,long_nclose,17.3482,0.01732708212674217,18.0
1672848600000.0,5290,1672848600000.0,0.10795000000000045,-0.00878205,1001.31794634,1001.43859634,-63.5,0.1383,63.5,0.1366,long_nclose,8.6741,0.00866268304858154,8.0
1672853100000.0,5365,1672853100000.0,0.10795000000000045,-0.00878205,1001.41711429,1001.41711429,-63.5,0.1383,0.0,0.1366,long_nclose,0.0,0.0,75.0
1672859640000.0,5474,1672859640000.0,0.0,-0.06942800000000002,1001.34768629,1001.34768629,510.5,0.136,510.5,0.136,long_ientry_normal,69.42800000000001,0.06933455876572825,109.0
1672877700000.0,5775,1672877700000.0,0.4338399999999947,-0.03514104,1001.74638525,1002.18039525,-255.2,0.1377,255.3,0.136,long_nclose,34.720800000000004,0.03466026981603226,301.0
1672877760000.0,5776,1672877760000.0,0.21691999999999734,-0.01757052,1001.9457347299999,1002.23944473,-127.6,0.1377,127.7,0.136,long_nclose,17.3672,0.017333473658311484,1.0
1672882260000.0,5851,1672882260000.0,0.10845999999999867,-0.00878526,1002.04540947,1002.18598947,-63.8,0.1377,63.9,0.136,long_nclose,8.6904,0.008672660857352275,75.0
1672886580000.0,5923,1672886580000.0,0.10862999999999867,-0.00879903,1002.14524044,1002.14524044,-63.9,0.1377,0.0,0.136,long_nclose,0.0,0.0,72.0
1673291160000.0,12666,1673291160000.0,0.0,-0.06946776,1002.07577268,1002.16449268,443.6,0.1566,443.6,0.1566,long_ientry_normal,69.46776,0.06932385942653024,6743.0
